245822 138454 175560 40140 39272,2,271494,40140 271494 271494
26210 411527 152443 204494 91888,2,349736,252397 349736
167978 268081 107195 417927 226089,1,199101,199101 199101 199101
147555 346501 346501 235437 145503,7,199101,346501 199101 199101 286219 304028 172313 346501 199101 192353 192353 119825 346501 199101 199101
299517 194711 299517 112065 337529,2,440560,398182 440560 440560
260830 380014 74787 266553 464985,1,196659,196659 196659
123945 380578 34853 98178 107503,1,218942,218942 218942
257040 186260 221746 103634 450726,2,70387,70387 51561 70387
174265 166683 257040 267236 359844,5,37471,257040 244587 244587 19677 303161 244587 244587 37471 37471
316753 186702 12217 207815 48030,21,170390,437006 437006 437006 308296 217537 437006 292433 360845 407252 261673 261673 200530 257655 3342 409492 46109 200530 261673 200530 407252 261673 261673 261673 46109 261673 409492 257655 308296 217537 200530 261673 261673 409492 257655 409492 257655 308296 217537 200530 409492 257655 308296 261673 217537 200530 261673 409492 257655 308296 217537 200530 233876 233876 179496 133907 72255 34843 389814 34843 34843 389814 389814 34843 389814 138434 437006 409492 261673 308296 291152 170390
46109 409492 266439 46109 450082,6,118215,170390 409804 308296 292433 341971 118215
390591 132068 320130 379953 322004,51,195958,299038 178112 178112 466056 213834 72255 351501 446934 247698 152100 165904 259610 212006 283397 277247 72255 281212 281212 281212 29196 459664 412981 59080 389886 291605 165817 318847 421103 354288 390176 106848 291605 389886 165817 318847 421103 354288 291605 389886 421103 291605 389886 165817 318847 421103 354288 184465 237244 149230 349318 311405 65273 192413 170505 10934 337161 337161 124583 124583 124583 124583 124583 365673 184465 184903 221638 365673 365673 184903 184903 235567 92466 7811 7811 258293 24233 335686 257718 218746 218746 218746 218746 96675 96675 195958 195958
204057 26900 432183 17655 40870,2,140532,195958 195958 140532 140532
172293 29196 268335 248455 215503,3,46232,95336 62283 46232 46232
423699 47586 322004 176484 237244,59,29196,46232 32398 358348 148862 351882 255776 341700 276591 276591 131414 147955 147955 311405 69974 272770 351882 351882 341700 341700 276591 276591 255776 255776 131414 131414 147955 147955 272770 272770 276591 272770 546 44561 428046 208922 444993 246407 248455 546 248455 246407 208922 428046 44561 44561 428046 428046 546 284312 305954 546 546 428046 428046 208922 248455 351394 194336 453618 53728 40173 106374 284312 425142 290014 15247 18626 170894 265930 362087 51005 108442 301119 299686 273512 278539 55350 285747 393774 170894 69112 59474 18626 251499 91417 226374 429380 448807 162139 157743 51275 290014 290014 290014 302195 162139 106374 34471 128745 429380 68237 157743 162139 128745 429380 68237 68237 162139 162139 157743 106374 128745 106374 429380 429380 29196 29196
147684 92466 248455 176484 252344,16,370223,459664 176329 132018 140699 161478 161478 400525 66752 66752 53728 294482 66752 451835 287687 350384 51275 275575 302195 370223 370223
66752 403848 446411 48968 446411,20,312577,370223 333880 166358 267236 162139 157743 51275 290014 302195 177106 386324 415818 206305 30479 132729 248889 66752 157743 157743 157743 415818 333880 333880 51275 51275 386324 386324 370223 64154 64154 157743 162139 106374 66752 312577
294713 155485 129705 113615 463002,1,436004,436004 436004
118752 350191 215904 388097 117716,1,220898,220898 220898
350384 176484 322004 312728 95042,8,434743,248455 286736 147955 248455 374272 349104 183756 46232 434743 434743
172293 29196 268335 248455 46232,6,128296,46232 158677 113615 63055 303230 128296
176484 350384 322004 46660 218871,4,128296,167888 377060 177048 128296 128296
546 53541 546 95392 351394,1,128296,128296 128296
230040 65190 390206 281558 256146,2,113802,263338 113802
423699 376358 43590 114786 450835,2,128296,157004 128296 128296
354881 58274 279815 279815 234299,3,102478,63543 46232 102478
210137 69399 376581 158823 31791,2,458271,320130 458271 458271
382885 176363 254290 176363 89333,3,63543,458271 398728 63543 63543
280939 389503 170671 257723 128296,1,328756,328756 328756
280939 389503 170671 257723 128296,1,328756,328756 328756
21912 90230 35837 75764 151471,2,371368,52763 371368 371368
403591 394974 337361 418277 337698,1,126503,126503 126503
303833 355994 85791 355043 166306,1,136523,136523 136523 136523 136523
203817 15327 42260 203817 260493,17,167121,443210 243479 107624 446903 359446 284613 440799 364603 320322 187896 135392 253552 370290 373885 405090 373885 242273 167121 167121 167121 167121
112782 244458 190000 36810 298560,1,338208,338208 338208
320130 236180 196629 221236 341486,1,430317,430317 430317
69697 211259 356029 157203 33970,1,356029,356029 356029
408933 3383 104417 420565 453816,1,3383,3383 3383
408731 51152 115696 210009 256473,2,459475,28168 459475 459475
201116 87557 197980 359990 105875,1,110379,110379 110379
349749 50159 8070 153708 322957,2,425899,415547 425899
243566 415301 150100 340375 127631,3,242905,179601 290999 242905 242905
387373 92361 351481 441852 215800,2,441852,12217 441852 441852
419225 367900 411860 334982 188069,3,3629,351308 17127 3629 3629
181146 181146 192449 181146 289160,6,55939,3629 3629 3629 3629 345255 180514 180514 41532 457191 55939
9877 140661 40630 218794 241555,3,180514,55939 22869 180514
337246 73001 17478 1590 348352,1,302171,302171 302171
125440 229018 229018 39673 449403,2,381934,125440 381934
76060 168082 401205 281211 394899,1,429631,429631 429631
305760 257040 257040 318610 415062,6,43725,125440 365986 155427 296585 198683 43725 43725
197723 438779 320130 40868 438779,1,202459,202459 202459
217548 461686 335235 121680 212289,6,357371,202459 202459 243634 286939 205111 357371 150882 357371
290172 317691 248455 422905 231482,13,460553,357371 44437 214519 446934 26515 276787 287526 387549 374063 306110 353419 460553 150882 460553
244819 123664 337493 173766 85579,2,430292,460553 430292 430292
205566 238270 260485 331394 276749,1,450082,450082 450082 450082
103407 204038 90931 17478 373384,1,214881,214881 214881
248455 176484 26579 248455 128745,1,223739,223739 223739
448453 136576 17478 140168 399192,1,164863,164863 164863
381 325416 222888 254767 404331,1,457410,457410 457410 457410
255689 342425 198657 403566 342425,1,152120,152120 152120
346625 346625 104342 73917 397642,2,60166,101568 60166
46232 305588 46232 324290 409804,1,417059,417059 417059 417059 417059 417059
44234 444006 11056 373315 148338,1,444006,444006 444006
